name_zh,name_en,description_zh,description_en,rating_zh,rating_en,running,type,url,submitUrl,region,submitMethod,review,submitRequirements_zh,submitRequirements_en,expectedExposure,reviewTime,上线
异次元软件世界,iPlaySoft,是一个致力于推广各种优秀实用软件、网络资源的网站。,It is a website dedicated to promoting various excellent and practical software and online resources.,若投稿被采用，异次元会在文章中标记你的署名。也可以附上微博、博客链接等联系方式，也获得一定曝光。,"If your submission is accepted, Yiciyuan will mark your signature in the article. You can also attach your contact information such as Weibo or blog links to gain some exposure.",running,blog_newsletter,https://www.iplaysoft.com,https://www.iplaysoft.com/contribute,domestic,email,1,需要分享对软件的原创使用体验，来稿不一定都会采用。,You are required to share your original experience of using the software. Not all submissions will be adopted.,within_10k,unknown,填写完成
ABABTOOLS,ABABTOOLS,ABABTOOLS是一个一个集合了各种好玩又实用的宝藏之地。这里不仅有各种知识教程、网站、软件工具，还有硬件产品、资源，是一个无所事事不包的宝箱！,"ABABTOOLS is a treasure trove that combines all kinds of fun and useful things. Here, there are not only various knowledge tutorials, websites, and software tools but also hardware products and resources. It's a treasure chest that encompasses everything! ",提供免费产品收录,Free product listing is provided.,running,product_showcase,https://ababtools.com,https://ababtools.com/?post=1292,domestic,site_form,1,符合表单即可,Just meet the form requirements.,within_10k,within_three_days,填写完成
新趣集,Xinquji,发现有趣的网站与工具,Discover interesting websites and tools,类似ProductHunt的平台，可创建自己的产品介绍页面，获得免费曝光。,A platform similar to ProductHunt where you can create your own product introduction page and get free exposure.,running,product_showcase,https://xinquji.com,https://xinquji.com/posts/create,domestic,site_form,1,可以快速导入apple store/酷安中的产品链接,You can quickly import product links from the Apple Store/Coolapk.,not_disclosed,within_three_days,填写完成
神器集,Shenqi,全球实用工具精选,,一个发现分享有趣在线工具的网站。,A website for discovering and sharing interesting online tools.,stopped,product_showcase,https://shenqi.io,https://shenqi.io/new,domestic,site_form,1,,,not_evaluated,unknown,填写完成
Mergeek,Mergeek,一个产品发现及推荐的社区，致力于为仍在初创期的个人或团队提供产品发布及展示机会,"A community for product discovery and recommendation, dedicated to providing product release and display opportunities for individuals or teams in the startup phase.",收录机制未知，没有明显的收录反馈机制,"The indexing mechanism is unknown, and there is no obvious indexing feedback mechanism.",running,product_showcase,https://mergeek.com/zh/latest,https://mergeek.com/publish_project,domestic,site_form,1,200字以内,Within 200 words.,not_evaluated,unknown,填写完成
PartnerShare,PartnerShare,"是一个为SAAS软件/APP/网站用户提供最新产品资讯、交流沟通的平台。10,000+家服务商正在通过PartnerShare展示产品，并获得潜在客户。","It is a platform that provides the latest product information and communication channels for users of SaaS software, apps, and websites. More than 10,000 service providers are showcasing their products on PartnerShare and acquiring potential customers.",收录要求未知，一直卡在审核，没有明显的收录反馈机制,"The inclusion requirements are unknown. It has been stuck in the review process, and there is no obvious inclusion feedback mechanism.",running,product_showcase,https://www.partnershare.cn,https://brand.partnershare.cn/home,domestic,site_form,1,需要材料类型较多：比如产品简介，认证，截图，产品资讯等材料。,"A wide variety of materials are required, such as product introductions, certifications, screenshots, and product information.",not_evaluated,unknown,填写完成
正版中国,GetItFree,是一个分享正版软件限时免费信息的网站,It is a website that shares time-limited free information of genuine software.,疑似不再维护,Suspiciously no longer maintained.,suspected_unmaintained,product_showcase,https://www.getitfree.cn,https://www.getitfree.cn/contribute-page.html,domestic,site_form,1,,,not_evaluated,unknown,填写完成
果核剥壳,GHXI,把绿化的，修改的绿色软件分享给大家。网站所有的资源都是免费。,I'd like to share with you the green and modified software. All resources on the website are free.,以分享绿色软件为主，并不适合独立开发者投稿,It mainly focuses on sharing green software and is not suitable for independent developers to submit contributions.,running,product_showcase,https://www.ghxi.com,,domestic,site_form,1,,,not_evaluated,unknown,填写完成
Fuun.fun,Fuun.fun,"互联网上有不计其数的网站，或有趣、或沙雕、或奇奇怪怪、或。。。
这些有趣的网站，因为太小众，不会被搜索引擎收录，因此几乎不会为人所知。
为了让这些有趣的网站给更多的人带来快乐，我们创建了 FUUN.FUN。","There are countless websites on the Internet, some are interesting, some are hilarious, some are just plain weird, or...
These interesting websites are too niche to be indexed by search engines, so they are hardly known to people.
To bring the joy of these interesting websites to more people, we created FUUN.FUN.",需要足够的有趣哦,It needs to be interesting enough!,running,product_showcase,https://fuun.fun,https://fuun.fun/talk.html,domestic,submit_comment,1,只收录网页应用,Only web applications are included.,not_evaluated,unknown,填写完成
小木屋,WeChalet,"收录国外和国内各类实用网站,内容涵盖工具、创意、设计、美食、视频、图片、旅游、文化、音乐等多领域站点资源，提供简单便捷的网上导航服务。","It collects various types of practical websites from both abroad and at home. The content covers site resources in multiple fields such as tools, creativity, design, cuisine, videos, pictures, tourism, culture, music, etc., and provides simple and convenient online navigation services.",,,running,product_showcase,https://wechalet.cn,https://wechalet.cn/appstore/add,domestic,site_form,1,需网站截图,Website screenshots are needed.,within_100,within_one_week,填写完成
